Campaign,Campaign type,Campaign daily budget,Campaign status,Networks,Languages,Bid strategy type,Maximum CPC bid limit,Final URL suffix
SEARCH | Studio | Local | 2026-08,Search,10,Paused,Google Search,lv;ru;en,Maximize clicks,0.80,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_term={keyword}&utm_content={creative}&matchtype={matchtype}&device={device}
SEARCH | Mobile | West Riga + Jurmala | 2026-08,Search,5,Paused,Google Search,lv;ru;en,Maximize clicks,0.80,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_term={keyword}&utm_content={creative}&matchtype={matchtype}&device={device}
